Delta	B2	power
0	2	0.5048843578748031
0	5	0.4964977849356852
0	10	0.5150018396170749
0	20	0.5134683458765529
0.1	2	0.5189758121325515
0.1	5	0.5305865242170663
0.1	10	0.5229510419455945
0.1	20	0.5428972364990793
0.2	2	0.5641613893899059
0.2	5	0.5900324195456698
0.2	10	0.6015256862070248
0.2	20	0.6063317240121204
0.30000000000000004	2	0.5934062857232768
0.30000000000000004	5	0.6658370537086797
0.30000000000000004	10	0.6769110680953553
0.30000000000000004	20	0.6922334631465342
0.4	2	0.6173533535212062
0.4	5	0.7258964176270353
0.4	10	0.7567248100828026
0.4	20	0.7615677292485534
0.5	2	0.6425438202966197
0.5	5	0.754887769492443
0.5	10	0.7934354168627377
0.5	20	0.8095288803560573
0.6000000000000001	2	0.6437422326320129
0.6000000000000001	5	0.8008699289367895
0.6000000000000001	10	0.8324405183332781
0.6000000000000001	20	0.8451206419334109
0.7000000000000001	2	0.6666303321946886
0.7000000000000001	5	0.803551661663164
0.7000000000000001	10	0.857028081479079
0.7000000000000001	20	0.86854381282342
0.8	2	0.6882982929120952
0.8	5	0.8322884383476458
0.8	10	0.8731041174529056
0.8	20	0.8929997615595668
0.9	2	0.6802009592348054
0.9	5	0.8397778142522986
0.9	10	0.8814661775669784
0.9	20	0.9005567214967704
1	2	0.6883020250125399
1	5	0.8456768550892719
1	10	0.8996342031193783
1	20	0.9150640654421413
1.1	2	0.6937227299167505
1.1	5	0.8601216426564888
1.1	10	0.9009938621628945
1.1	20	0.9234014760888312
1.2000000000000002	2	0.6883698985379317
1.2000000000000002	5	0.8595077761435844
1.2000000000000002	10	0.9114106971307232
1.2000000000000002	20	0.9254592368164617
1.3	2	0.7040082432594221
1.3	5	0.8604230415952825
1.3	10	0.9144018680633142
1.3	20	0.9304818414290275
1.4000000000000001	2	0.7002531733292142
1.4000000000000001	5	0.8674327701177565
1.4000000000000001	10	0.9179646506108837
1.4000000000000001	20	0.9388695055386349
1.5	2	0.7003804468868808
1.5	5	0.8696978029480091
1.5	10	0.926108308385716
1.5	20	0.9394775526124522
1.6	2	0.6959235817561695
1.6	5	0.8754662723374524
1.6	10	0.9237291282168896
1.6	20	0.9420153300243386
1.7000000000000002	2	0.6868290173866305
1.7000000000000002	5	0.8750728166380597
1.7000000000000002	10	0.9302883132412525
1.7000000000000002	20	0.9463088682056352
1.8	2	0.709751670706197
1.8	5	0.8806473977295887
1.8	10	0.9317997579629352
1.8	20	0.9472154936793626
1.9000000000000001	2	0.7030670877211075
1.9000000000000001	5	0.8766990092566529
1.9000000000000001	10	0.9335114270725884
