model	d	B1	B2	accuracy
RP-LDA	2	10	5	0.522
RP-QDA	2	10	5	0.538
RP-kNN	2	10	5	0.52
RP-LDA	2	10	50	0.528
RP-QDA	2	10	50	0.476
RP-kNN	2	10	50	0.496
RP-LDA	2	10	500	0.522
RP-QDA	2	10	500	0.484
RP-kNN	2	10	500	0.546
RP-LDA	2	100	5	0.492
RP-QDA	2	100	5	0.506
RP-kNN	2	100	5	0.498
RP-LDA	2	100	50	0.486
RP-QDA	2	100	50	0.486
RP-kNN	2	100	50	0.522
RP-LDA	2	100	500	0.512
RP-QDA	2	100	500	0.518
RP-kNN	2	100	500	0.5
RP-LDA	2	1000	5	0.524
RP-QDA	2	1000	5	0.516
RP-kNN	2	1000	5	0.458
RP-LDA	2	1000	50	0.498
RP-QDA	2	1000	50	0.49
RP-kNN	2	1000	50	0.504
RP-LDA	2	1000	500	0.474
RP-QDA	2	1000	500	0.508
RP-kNN	2	1000	500	0.538
RP-LDA	5	10	5	0.53
RP-QDA	5	10	5	0.518
RP-kNN	5	10	5	0.486
RP-LDA	5	10	50	0.522
RP-QDA	5	10	50	0.492
RP-kNN	5	10	50	0.492
RP-LDA	5	10	500	0.512
RP-QDA	5	10	500	0.532
RP-kNN	5	10	500	0.514
RP-LDA	5	100	5	0.506
RP-QDA	5	100	5	0.492
RP-kNN	5	100	5	0.482
RP-LDA	5	100	50	0.494
RP-QDA	5	100	50	0.498
RP-kNN	5	100	50	0.526
RP-LDA	5	100	500	0.484
RP-QDA	5	100	500	0.514
RP-kNN	5	100	500	0.49
RP-LDA	5	1000	5	0.496
RP-QDA	5	1000	5	0.508
RP-kNN	5	1000	5	0.458
RP-LDA	5	1000	50	0.494
RP-QDA	5	1000	50	0.51
RP-kNN	5	1000	50	0.532
RP-LDA	5	1000	500	0.5
RP-QDA	5	1000	500	0.528
RP-kNN	5	1000	500	0.528
RP-LDA	10	10	5	0.464
RP-QDA	10	10	5	0.518
RP-kNN	10	10	5	0.482
RP-LDA	10	10	50	0.49
RP-QDA	10	10	50	0.49
RP-kNN	10	10	50	0.48
RP-LDA	10	10	500	0.536
RP-QDA	10	10	500	0.51
RP-kNN	10	10	500	0.54
RP-LDA	10	100	5	0.52
RP-QDA	10	100	5	0.548
RP-kNN	10	100	5	0.486
RP-LDA	10	100	50	0.49
RP-QDA	10	100	50	0.528
RP-kNN	10	100	50	0.482
RP-LDA	10	100	500	0.504
RP-QDA	10	100	500	0.528
RP-kNN	10	100	500	0.57
RP-LDA	10	1000	5	0.536
RP-QDA	10	1000	5	0.532
RP-kNN	10	1000	5	0.53
RP-LDA	10	1000	50	0.5
RP-QDA	10	1000	50	0.552
RP-kNN	10	1000	50	0.52
RP-LDA	10	1000	500	0.504
RP-QDA	10	1000	500	0.556
RP-kNN	10	1000	500	0.566
